author_id,author,num_lines,char_count,source_path
439,Marian Lichtman,93,2362,data/raw/Marian Lichtman.txt
440,Marianne,12,858,data/raw/Marianne.txt
441,Martyn ESM,16,550,data/raw/Martyn ESM.txt
442,Mata,25,1016,data/raw/Mata.txt
443,Matheo,24,1143,data/raw/Matheo.txt
444,Małach,20,1234,data/raw/Małach.txt
445,Małpa,17,786,data/raw/Małpa.txt
446,Medusa,17,606,data/raw/Medusa.txt
447,Meek,77,2150,data/raw/Meek.txt
448,Merghani,14,725,data/raw/Merghani.txt
449,MiZeb,17,823,data/raw/MiZeb.txt
450,Michał Anioł,15,336,data/raw/Michał Anioł.txt
451,Michał Karmowski,26,1479,data/raw/Michał Karmowski.txt
452,Michał Pol,25,1016,data/raw/Michał Pol.txt
453,Michał Rusinek,17,809,data/raw/Michał Rusinek.txt
454,Michał Tomasik,21,772,data/raw/Michał Tomasik.txt
455,Michał Wrzos,36,1441,data/raw/Michał Wrzos.txt
456,Miexon,22,1103,data/raw/Miexon.txt
457,Migekk,23,721,data/raw/Migekk.txt
458,Miki,18,673,data/raw/Miki.txt
459,Mikser,23,1026,data/raw/Mikser.txt
460,Mini Majk,29,759,data/raw/Mini Majk.txt
461,Minix,29,759,data/raw/Minix.txt
462,Miłka Żmuda,17,681,data/raw/Miłka Żmuda.txt
463,Miły ATZ,92,3017,data/raw/Miły ATZ.txt
464,Mleko,26,1025,data/raw/Mleko.txt
465,Mlodyafik,40,2568,data/raw/Mlodyafik.txt
466,Mokebe,21,925,data/raw/Mokebe.txt
467,Moli,33,1199,data/raw/Moli.txt
468,Monia,26,891,data/raw/Monia.txt
469,Mr. Polska,37,1647,data/raw/Mr. Polska.txt
470,Mucha,25,1016,data/raw/Mucha.txt
471,Mufasa,17,606,data/raw/Mufasa.txt
472,Muflon,19,840,data/raw/Muflon.txt
473,Murcix,17,529,data/raw/Murcix.txt
474,Murzyn,16,550,data/raw/Murzyn.txt
475,Młodszy joe,19,882,data/raw/Młodszy joe.txt
476,Młody Dzban,37,1412,data/raw/Młody Dzban.txt
477,Młody Jedi,24,1003,data/raw/Młody Jedi.txt
478,Młody Karter,2,24,data/raw/Młody Karter.txt
479,Młody M,24,919,data/raw/Młody M.txt
480,Młody RoLi,21,709,data/raw/Młody RoLi.txt
481,Młody ZDS,16,709,data/raw/Młody ZDS.txt
482,Młody Zgred,17,822,data/raw/Młody Zgred.txt
483,Młody Żmija,33,1136,data/raw/Młody Żmija.txt
484,Młodzian,2,24,data/raw/Młodzian.txt
485,NOEMI,3585,25989,data/raw/NOEMI.txt
486,NUF,23,1252,data/raw/NUF.txt
487,Napster,17,760,data/raw/Napster.txt
488,Natalia Kukulska,2,27,data/raw/Natalia Kukulska.txt
489,Natalia Szroeder,26,759,data/raw/Natalia Szroeder.txt
490,Nath,20,551,data/raw/Nath.txt
491,Natsu,30,903,data/raw/Natsu.txt
492,Neile,63,3244,data/raw/Neile.txt
493,Nik Tendo,22,1103,data/raw/Nik Tendo.txt
494,Nizioł,27,991,data/raw/Nizioł.txt
495,Nizzlie,34,1281,data/raw/Nizzlie.txt
496,Nobodyinfact,24,921,data/raw/Nobodyinfact.txt
497,Noemi,3585,25989,data/raw/Noemi.txt
498,Noon,47,1558,data/raw/Noon.txt
499,Norbi,18,809,data/raw/Norbi.txt
500,Nowak,33,1728,data/raw/Nowak.txt
501,Nuk,23,1252,data/raw/Nuk.txt
502,Numer Raz,23,1252,data/raw/Numer Raz.txt
503,Nycto,20,733,data/raw/Nycto.txt
504,O.S.T.R.,31,1981,data/raw/O.S.T.R..txt
505,OG Olgierd,23,703,data/raw/OG Olgierd.txt
506,ORB1t,17,708,data/raw/ORB1t.txt
507,OWCZAREK,17,424,data/raw/OWCZAREK.txt
508,Odie,17,757,data/raw/Odie.txt
509,Oh Why,77,2150,data/raw/Oh Why.txt
510,Oki,44,1885,data/raw/Oki.txt
511,Ola Kot,32,937,data/raw/Ola Kot.txt
512,Oorbit,4,893,data/raw/Oorbit.txt
513,Opał,51,2007,data/raw/Opał.txt
514,Osaka,44,1885,data/raw/Osaka.txt
515,Otsochodzi,19,641,data/raw/Otsochodzi.txt
516,Oxon,17,1173,data/raw/Oxon.txt
517,PARA,17,598,data/raw/PARA.txt
518,PECTUS,23,1498,data/raw/PECTUS.txt
519,PIRO,33,1388,data/raw/PIRO.txt
520,PLC,24,1143,data/raw/PLC.txt
521,PLK,24,1143,data/raw/PLK.txt
522,PN,23,854,data/raw/PN.txt
523,POE,26,954,data/raw/POE.txt
